"ID";"Landen";"Perioden";"TotaalAsielverzoeken_1"
"120";"L008654";"2011JJ00";"       ."
"121";"L008654";"2012JJ00";"       ."
"122";"L008654";"2013JJ00";"     1.1"
"123";"L008654";"2014JJ00";"     0.5"
"124";"L008654";"2015JJ00";"     0.2"
"125";"L008654";"2016JJ00";"     2.2"
"126";"L008657";"2008JJ00";"     0.1"
"127";"L008657";"2009JJ00";"     0.1"
"128";"L008657";"2010JJ00";"     0.1"
"129";"L008657";"2011JJ00";"     0.3"
"130";"L008657";"2012JJ00";"     0.2"
"131";"L008657";"2013JJ00";"     0.2"
"132";"L008657";"2014JJ00";"     0.4"
"133";"L008657";"2015JJ00";"     0.3"
"134";"L008657";"2016JJ00";"     0.4"
"135";"L008662";"2008JJ00";"     0.5"
"136";"L008662";"2009JJ00";"     0.5"
"137";"L008662";"2010JJ00";"     0.5"
"138";"L008662";"2011JJ00";"     0.5"
"139";"L008662";"2012JJ00";"     0.6"
"140";"L008662";"2013JJ00";"     0.4"
"141";"L008662";"2014JJ00";"     0.4"
"142";"L008662";"2015JJ00";"     0.3"
"143";"L008662";"2016JJ00";"     0.4"
"144";"L008663";"2008JJ00";"     0.5"
"145";"L008663";"2009JJ00";"     0.5"
"146";"L008663";"2010JJ00";"     0.8"
"147";"L008663";"2011JJ00";"     2.2"
"148";"L008663";"2012JJ00";"     2.1"
"149";"L008663";"2013JJ00";"     1.1"
"150";"L008663";"2014JJ00";"     1.2"
"151";"L008663";"2015JJ00";"     2.5"
"152";"L008663";"2016JJ00";"     2.2"
"153";"L008671";"2008JJ00";"     2.6"
"154";"L008671";"2009JJ00";"     2.4"
"155";"L008671";"2010JJ00";"     0.2"
"156";"L008671";"2011JJ00";"     1.9"
"157";"L008671";"2012JJ00";"     2.1"
"158";"L008671";"2013JJ00";"     2.2"
"159";"L008671";"2014JJ00";"     1.4"
"160";"L008671";"2015JJ00";"     1.8"
"161";"L008671";"2016JJ00";"     1.9"
"162";"L008691";"2008JJ00";"    15.3"
"163";"L008691";"2009JJ00";"    16.1"
"164";"L008691";"2010JJ00";"    15.1"
"165";"L008691";"2011JJ00";"    14.6"
"166";"L008691";"2012JJ00";"    13.1"
"167";"L008691";"2013JJ00";"    13.1"
"168";"L008691";"2014JJ00";"    24.5"
