"ID";"Geslacht";"LeeftijdOp31December";"Geboorteland";"BurgerlijkeStaat";"Perioden";"Immigratie_1"
"2885814";"T001038";"60100";"G008597";"T001019";"1999JJ00";"       1"
"2885815";"T001038";"60100";"G008597";"T001019";"2000JJ00";"       9"
"2885816";"T001038";"60100";"G008597";"T001019";"2001JJ00";"      26"
"2885817";"T001038";"60100";"G008597";"T001019";"2002JJ00";"      16"
"2885818";"T001038";"60100";"G008597";"T001019";"2003JJ00";"       3"
"2885819";"T001038";"60100";"G008597";"T001019";"2004JJ00";"      13"
"2885820";"T001038";"60100";"G008597";"T001019";"2005JJ00";"      14"
"2885821";"T001038";"60100";"G008597";"T001019";"2006JJ00";"       6"
"2885822";"T001038";"60100";"G008597";"T001019";"2007JJ00";"      19"
"2885823";"T001038";"60100";"G008597";"T001019";"2008JJ00";"       7"
"2885824";"T001038";"60100";"G008597";"T001019";"2009JJ00";"      17"
"2885825";"T001038";"60100";"G008597";"T001019";"2010JJ00";"      23"
"2885826";"T001038";"60100";"G008597";"T001019";"2011JJ00";"      33"
"2885827";"T001038";"60100";"G008597";"T001019";"2012JJ00";"      19"
"2885828";"T001038";"60100";"G008597";"T001019";"2013JJ00";"      75"
"2885829";"T001038";"60100";"G008597";"T001019";"2014JJ00";"     116"
"2885830";"T001038";"60100";"G008597";"T001019";"2015JJ00";"     394"
"2885831";"T001038";"60100";"G008597";"T001019";"2016JJ00";"     759"
"2885832";"T001038";"60100";"G008597";"T001019";"2017JJ00";"    1134"
"2889720";"T001038";"60100";"G008633";"T001019";"1995JJ00";"     631"
"2889721";"T001038";"60100";"G008633";"T001019";"1996JJ00";"    1034"
"2889722";"T001038";"60100";"G008633";"T001019";"1997JJ00";"    1245"
"2889723";"T001038";"60100";"G008633";"T001019";"1998JJ00";"    1165"
"2889724";"T001038";"60100";"G008633";"T001019";"1999JJ00";"     538"
"2889725";"T001038";"60100";"G008633";"T001019";"2000JJ00";"     638"
"2889726";"T001038";"60100";"G008633";"T001019";"2001JJ00";"     466"
"2889727";"T001038";"60100";"G008633";"T001019";"2002JJ00";"     228"
"2889728";"T001038";"60100";"G008633";"T001019";"2003JJ00";"     148"
"2889729";"T001038";"60100";"G008633";"T001019";"2004JJ00";"     106"
"2889730";"T001038";"60100";"G008633";"T001019";"2005JJ00";"      91"
"2889731";"T001038";"60100";"G008633";"T001019";"2006JJ00";"      74"
"2889732";"T001038";"60100";"G008633";"T001019";"2007JJ00";"     196"
"2889733";"T001038";"60100";"G008633";"T001019";"2008JJ00";"     414"
"2889734";"T001038";"60100";"G008633";"T001019";"2009JJ00";"     438"
"2889735";"T001038";"60100";"G008633";"T001019";"2010JJ00";"     267"
"2889736";"T001038";"60100";"G008633";"T001019";"2011JJ00";"     175"
"2889737";"T001038";"60100";"G008633";"T001019";"2012JJ00";"     214"
"2889738";"T001038";"60100";"G008633";"T001019";"2013JJ00";"     248"
"2889739";"T001038";"60100";"G008633";"T001019";"2014JJ00";"     130"
"2889740";"T001038";"60100";"G008633";"T001019";"2015JJ00";"     148"
"2889741";"T001038";"60100";"G008633";"T001019";"2016JJ00";"     375"
"2889742";"T001038";"60100";"G008633";"T001019";"2017JJ00";"     305"
"2889835";"T001038";"60100";"G008634";"T001019";"1995JJ00";"     412"
"2889836";"T001038";"60100";"G008634";"T001019";"1996JJ00";"     427"
"2889837";"T001038";"60100";"G008634";"T001019";"1997JJ00";"     230"
"2889838";"T001038";"60100";"G008634";"T001019";"1998JJ00";"     139"
"2889839";"T001038";"60100";"G008634";"T001019";"1999JJ00";"     116"
"2889840";"T001038";"60100";"G008634";"T001019";"2000JJ00";"     162"
"2889841";"T001038";"60100";"G008634";"T001019";"2001JJ00";"     192"
"2889842";"T001038";"60100";"G008634";"T001019";"2002JJ00";"     128"
"2889843";"T001038";"60100";"G008634";"T001019";"2003JJ00";"      85"
"2889844";"T001038";"60100";"G008634";"T001019";"2004JJ00";"      59"
"2889845";"T001038";"60100";"G008634";"T001019";"2005JJ00";"      49"
"2889846";"T001038";"60100";"G008634";"T001019";"2006JJ00";"      32"
