"ID";"Nationaliteit";"Perioden";"TotaalAsielverzoekenEnNareizigers_1"
"550";"NAT9303  ";"1997JJ00";"      50"
"551";"NAT9303  ";"1998JJ00";"      55"
"552";"NAT9303  ";"1999JJ00";"      20"
"553";"NAT9303  ";"2000JJ00";"      25"
"554";"NAT9303  ";"2001JJ00";"      25"
"555";"NAT9303  ";"2002JJ00";"      25"
"556";"NAT9303  ";"2003JJ00";"      20"
"557";"NAT9303  ";"2004JJ00";"       5"
"558";"NAT9303  ";"2005JJ00";"      10"
"559";"NAT9303  ";"2006JJ00";"       5"
"560";"NAT9303  ";"2007JJ00";"       0"
"561";"NAT9303  ";"2008JJ00";"       5"
"562";"NAT9303  ";"2009JJ00";"       0"
"563";"NAT9303  ";"2010JJ00";"       0"
"564";"NAT9303  ";"2011JJ00";"       0"
"565";"NAT9303  ";"2012JJ00";"       0"
"566";"NAT9303  ";"2013JJ00";"       0"
"567";"NAT9303  ";"2014JJ00";"       5"
"568";"NAT9303  ";"2015JJ00";"       0"
"569";"NAT9303  ";"2016JJ00";"       5"
"570";"NAT9303  ";"2017JJ00";"       5"
"571";"NAT9303  ";"2018JJ00";"       5"
"572";"NAT9305  ";"1975JJ00";"       ."
"573";"NAT9305  ";"1976JJ00";"       ."
"574";"NAT9305  ";"1977JJ00";"       ."
"575";"NAT9305  ";"1978JJ00";"       ."
"576";"NAT9305  ";"1979JJ00";"       ."
"577";"NAT9305  ";"1980JJ00";"       ."
"578";"NAT9305  ";"1981JJ00";"       ."
"579";"NAT9305  ";"1982JJ00";"       ."
"580";"NAT9305  ";"1983JJ00";"       ."
"581";"NAT9305  ";"1984JJ00";"       ."
"582";"NAT9305  ";"1985JJ00";"       ."
"583";"NAT9305  ";"1986JJ00";"       ."
"584";"NAT9305  ";"1987JJ00";"       ."
"585";"NAT9305  ";"1988JJ00";"       ."
"586";"NAT9305  ";"1989JJ00";"       ."
"587";"NAT9305  ";"1990JJ00";"       ."
"588";"NAT9305  ";"1991JJ00";"       ."
"589";"NAT9305  ";"1992JJ00";"       ."
"590";"NAT9305  ";"1993JJ00";"       ."
"591";"NAT9305  ";"1994JJ00";"      35"
"592";"NAT9305  ";"1995JJ00";"      45"
"593";"NAT9305  ";"1996JJ00";"      50"
"594";"NAT9305  ";"1997JJ00";"      65"
"595";"NAT9305  ";"1998JJ00";"     145"
"596";"NAT9305  ";"1999JJ00";"     205"
"597";"NAT9305  ";"2000JJ00";"     335"
"598";"NAT9305  ";"2001JJ00";"     430"
"599";"NAT9305  ";"2002JJ00";"     450"
"600";"NAT9305  ";"2003JJ00";"     400"
"601";"NAT9305  ";"2004JJ00";"     405"
"602";"NAT9305  ";"2005JJ00";"     420"
"603";"NAT9305  ";"2006JJ00";"     455"
"604";"NAT9305  ";"2007JJ00";"     170"
"605";"NAT9305  ";"2008JJ00";"     150"
"606";"NAT9305  ";"2009JJ00";"      90"
"607";"NAT9305  ";"2010JJ00";"      55"
"608";"NAT9305  ";"2011JJ00";"      35"
"609";"NAT9305  ";"2012JJ00";"      40"
"610";"NAT9305  ";"2013JJ00";"      15"
"611";"NAT9305  ";"2014JJ00";"      30"
"612";"NAT9305  ";"2015JJ00";"      40"
"613";"NAT9305  ";"2016JJ00";"      60"
"614";"NAT9305  ";"2017JJ00";"      55"
"615";"NAT9305  ";"2018JJ00";"      30"
"616";"NAT9309  ";"1975JJ00";"       ."
"617";"NAT9309  ";"1976JJ00";"       ."
"618";"NAT9309  ";"1977JJ00";"       ."
"619";"NAT9309  ";"1978JJ00";"       ."
"620";"NAT9309  ";"1979JJ00";"       ."
"621";"NAT9309  ";"1980JJ00";"      50"
"622";"NAT9309  ";"1981JJ00";"      40"
"623";"NAT9309  ";"1982JJ00";"      25"
"624";"NAT9309  ";"1983JJ00";"      40"
"625";"NAT9309  ";"1984JJ00";"      30"
"626";"NAT9309  ";"1985JJ00";"      25"
"627";"NAT9309  ";"1986JJ00";"      40"
"628";"NAT9309  ";"1987JJ00";"      65"
"629";"NAT9309  ";"1988JJ00";"      70"
"630";"NAT9309  ";"1989JJ00";"      90"
"631";"NAT9309  ";"1990JJ00";"      10"
"632";"NAT9309  ";"1991JJ00";"       ."
"633";"NAT9309  ";"1992JJ00";"       ."
"634";"NAT9309  ";"1993JJ00";"       ."
"635";"NAT9309  ";"1994JJ00";"       5"
"636";"NAT9309  ";"1995JJ00";"       0"
"637";"NAT9309  ";"1996JJ00";"       ."
"638";"NAT9309  ";"1997JJ00";"       5"
"639";"NAT9309  ";"1998JJ00";"       0"
"640";"NAT9309  ";"1999JJ00";"       0"
"641";"NAT9309  ";"2000JJ00";"       0"
"642";"NAT9309  ";"2001JJ00";"       0"
"643";"NAT9309  ";"2002JJ00";"       ."
"644";"NAT9309  ";"2003JJ00";"       0"
"645";"NAT9309  ";"2004JJ00";"       ."
"646";"NAT9309  ";"2005JJ00";"       ."
"647";"NAT9309  ";"2006JJ00";"       0"
"648";"NAT9309  ";"2007JJ00";"       ."
"649";"NAT9309  ";"2008JJ00";"       ."
"650";"NAT9309  ";"2009JJ00";"       ."
"651";"NAT9309  ";"2010JJ00";"       ."
"652";"NAT9309  ";"2011JJ00";"       ."
"653";"NAT9309  ";"2012JJ00";"       0"
"654";"NAT9309  ";"2013JJ00";"       0"
"655";"NAT9309  ";"2014JJ00";"       0"
"656";"NAT9309  ";"2015JJ00";"       0"
"657";"NAT9309  ";"2016JJ00";"       ."
"658";"NAT9309  ";"2017JJ00";"       0"
"659";"NAT9309  ";"2018JJ00";"       0"
"660";"NAT9310  ";"1975JJ00";"       ."
"661";"NAT9310  ";"1976JJ00";"       ."
"662";"NAT9310  ";"1977JJ00";"       ."
"663";"NAT9310  ";"1978JJ00";"       ."
"664";"NAT9310  ";"1979JJ00";"       ."
"665";"NAT9310  ";"1980JJ00";"      10"
"666";"NAT9310  ";"1981JJ00";"       ."
"667";"NAT9310  ";"1982JJ00";"      10"
"668";"NAT9310  ";"1983JJ00";"       ."
"669";"NAT9310  ";"1984JJ00";"       ."
"670";"NAT9310  ";"1985JJ00";"       ."
"671";"NAT9310  ";"1986JJ00";"       ."
"672";"NAT9310  ";"1987JJ00";"       ."
"673";"NAT9310  ";"1988JJ00";"       ."
"674";"NAT9310  ";"1989JJ00";"     120"
"675";"NAT9310  ";"1990JJ00";"     645"
"676";"NAT9310  ";"1991JJ00";"    1310"
"677";"NAT9310  ";"1992JJ00";"     225"
"678";"NAT9310  ";"1993JJ00";"     895"
"679";"NAT9310  ";"1994JJ00";"     875"
"680";"NAT9310  ";"1995JJ00";"     475"
"681";"NAT9310  ";"1996JJ00";"     470"
"682";"NAT9310  ";"1997JJ00";"    1160"
"683";"NAT9310  ";"1998JJ00";"     915"
"684";"NAT9310  ";"1999JJ00";"    1245"
"685";"NAT9310  ";"2000JJ00";"    1395"
"686";"NAT9310  ";"2001JJ00";"     705"
"687";"NAT9310  ";"2002JJ00";"     540"
"688";"NAT9310  ";"2003JJ00";"     300"
"689";"NAT9310  ";"2004JJ00";"     270"
"690";"NAT9310  ";"2005JJ00";"     335"
"691";"NAT9310  ";"2006JJ00";"     315"
"692";"NAT9310  ";"2007JJ00";"     270"
"693";"NAT9310  ";"2008JJ00";"     600"
"694";"NAT9310  ";"2009JJ00";"     340"
"695";"NAT9310  ";"2010JJ00";"     320"
"696";"NAT9310  ";"2011JJ00";"     315"
"697";"NAT9310  ";"2012JJ00";"     225"
"698";"NAT9310  ";"2013JJ00";"     180"
"699";"NAT9310  ";"2014JJ00";"     145"
"700";"NAT9310  ";"2015JJ00";"     240"
"701";"NAT9310  ";"2016JJ00";"     130"
"702";"NAT9310  ";"2017JJ00";"     175"
"703";"NAT9310  ";"2018JJ00";"     195"
"704";"NAT9311  ";"1975JJ00";"       ."
"705";"NAT9311  ";"1976JJ00";"       ."
"706";"NAT9311  ";"1977JJ00";"       ."
"707";"NAT9311  ";"1978JJ00";"       ."
"708";"NAT9311  ";"1979JJ00";"       ."
"709";"NAT9311  ";"1980JJ00";"       ."
"710";"NAT9311  ";"1981JJ00";"       ."
"711";"NAT9311  ";"1982JJ00";"       ."
"712";"NAT9311  ";"1983JJ00";"       ."
"713";"NAT9311  ";"1984JJ00";"       ."
"714";"NAT9311  ";"1985JJ00";"       ."
"715";"NAT9311  ";"1986JJ00";"       ."
"716";"NAT9311  ";"1987JJ00";"       ."
"717";"NAT9311  ";"1988JJ00";"       ."
"718";"NAT9311  ";"1989JJ00";"      10"
"719";"NAT9311  ";"1990JJ00";"      10"
"720";"NAT9311  ";"1991JJ00";"       ."
"721";"NAT9311  ";"1992JJ00";"       ."
"722";"NAT9311  ";"1993JJ00";"       ."
"723";"NAT9311  ";"1994JJ00";"       0"
"724";"NAT9311  ";"1995JJ00";"       5"
"725";"NAT9311  ";"1996JJ00";"       0"
"726";"NAT9311  ";"1997JJ00";"      15"
"727";"NAT9311  ";"1998JJ00";"      30"
"728";"NAT9311  ";"1999JJ00";"      40"
"729";"NAT9311  ";"2000JJ00";"      25"
"730";"NAT9311  ";"2001JJ00";"      50"
"731";"NAT9311  ";"2002JJ00";"      25"
"732";"NAT9311  ";"2003JJ00";"      35"
"733";"NAT9311  ";"2004JJ00";"     170"
"734";"NAT9311  ";"2005JJ00";"     340"
"735";"NAT9311  ";"2006JJ00";"      85"
"736";"NAT9311  ";"2007JJ00";"      40"
"737";"NAT9311  ";"2008JJ00";"      65"
"738";"NAT9311  ";"2009JJ00";"      40"
"739";"NAT9311  ";"2010JJ00";"      20"
"740";"NAT9311  ";"2011JJ00";"      10"
"741";"NAT9311  ";"2012JJ00";"      10"
"742";"NAT9311  ";"2013JJ00";"      10"
"743";"NAT9311  ";"2014JJ00";"      10"
"744";"NAT9311  ";"2015JJ00";"       5"
"745";"NAT9311  ";"2016JJ00";"      35"
"746";"NAT9311  ";"2017JJ00";"      40"
"747";"NAT9311  ";"2018JJ00";"      50"
"748";"NAT9313  ";"1975JJ00";"       ."
"749";"NAT9313  ";"1976JJ00";"       ."
"750";"NAT9313  ";"1977JJ00";"       ."
"751";"NAT9313  ";"1978JJ00";"       ."
"752";"NAT9313  ";"1979JJ00";"       ."
"753";"NAT9313  ";"1980JJ00";"       ."
"754";"NAT9313  ";"1981JJ00";"       ."
"755";"NAT9313  ";"1982JJ00";"       ."
"756";"NAT9313  ";"1983JJ00";"       ."
"757";"NAT9313  ";"1984JJ00";"       ."
"758";"NAT9313  ";"1985JJ00";"       ."
"759";"NAT9313  ";"1986JJ00";"       ."
"760";"NAT9313  ";"1987JJ00";"       ."
"761";"NAT9313  ";"1988JJ00";"       ."
"762";"NAT9313  ";"1989JJ00";"       ."
"763";"NAT9313  ";"1990JJ00";"       ."
"764";"NAT9313  ";"1991JJ00";"       ."
"765";"NAT9313  ";"1992JJ00";"       ."
"766";"NAT9313  ";"1993JJ00";"       ."
"767";"NAT9313  ";"1994JJ00";"      25"
"768";"NAT9313  ";"1995JJ00";"      10"
"769";"NAT9313  ";"1996JJ00";"       0"
"770";"NAT9313  ";"1997JJ00";"      85"
"771";"NAT9313  ";"1998JJ00";"     385"
"772";"NAT9313  ";"1999JJ00";"     660"
"773";"NAT9313  ";"2000JJ00";"     575"
"774";"NAT9313  ";"2001JJ00";"     495"
"775";"NAT9313  ";"2002JJ00";"     335"
"776";"NAT9313  ";"2003JJ00";"     175"
"777";"NAT9313  ";"2004JJ00";"     130"
"778";"NAT9313  ";"2005JJ00";"     155"
"779";"NAT9313  ";"2006JJ00";"     120"
"780";"NAT9313  ";"2007JJ00";"      85"
"781";"NAT9313  ";"2008JJ00";"      95"
"782";"NAT9313  ";"2009JJ00";"     100"
"783";"NAT9313  ";"2010JJ00";"     135"
"784";"NAT9313  ";"2011JJ00";"      95"
"785";"NAT9313  ";"2012JJ00";"     155"
"786";"NAT9313  ";"2013JJ00";"     130"
"787";"NAT9313  ";"2014JJ00";"     110"
"788";"NAT9313  ";"2015JJ00";"      70"
"789";"NAT9313  ";"2016JJ00";"     100"
"790";"NAT9313  ";"2017JJ00";"      75"
"791";"NAT9313  ";"2018JJ00";"      55"
"792";"NAT9314  ";"1975JJ00";"       ."
"793";"NAT9314  ";"1976JJ00";"       ."
"794";"NAT9314  ";"1977JJ00";"       ."
"795";"NAT9314  ";"1978JJ00";"       ."
"796";"NAT9314  ";"1979JJ00";"       ."
"797";"NAT9314  ";"1980JJ00";"       ."
"798";"NAT9314  ";"1981JJ00";"       ."
"799";"NAT9314  ";"1982JJ00";"       ."
"800";"NAT9314  ";"1983JJ00";"      15"
"801";"NAT9314  ";"1984JJ00";"       ."
"802";"NAT9314  ";"1985JJ00";"      35"
"803";"NAT9314  ";"1986JJ00";"     180"
"804";"NAT9314  ";"1987JJ00";"    1355"
"805";"NAT9314  ";"1988JJ00";"     450"
"806";"NAT9314  ";"1989JJ00";"     680"
"807";"NAT9314  ";"1990JJ00";"     195"
"808";"NAT9314  ";"1991JJ00";"     295"
"809";"NAT9314  ";"1992JJ00";"     475"
"810";"NAT9314  ";"1993JJ00";"    1305"
"811";"NAT9314  ";"1994JJ00";"    2180"
"812";"NAT9314  ";"1995JJ00";"     770"
"813";"NAT9314  ";"1996JJ00";"     435"
"814";"NAT9314  ";"1997JJ00";"     590"
"815";"NAT9314  ";"1998JJ00";"     410"
"816";"NAT9314  ";"1999JJ00";"     240"
"817";"NAT9314  ";"2000JJ00";"     535"
"818";"NAT9314  ";"2001JJ00";"     500"
"819";"NAT9314  ";"2002JJ00";"     525"
"820";"NAT9314  ";"2003JJ00";"     220"
"821";"NAT9314  ";"2004JJ00";"     105"
"822";"NAT9314  ";"2005JJ00";"     185"
"823";"NAT9314  ";"2006JJ00";"     265"
"824";"NAT9314  ";"2007JJ00";"      60"
"825";"NAT9314  ";"2008JJ00";"      60"
"826";"NAT9314  ";"2009JJ00";"      50"
"827";"NAT9314  ";"2010JJ00";"      55"
"828";"NAT9314  ";"2011JJ00";"      30"
"829";"NAT9314  ";"2012JJ00";"      45"
"830";"NAT9314  ";"2013JJ00";"      95"
"831";"NAT9314  ";"2014JJ00";"      15"
"832";"NAT9314  ";"2015JJ00";"      10"
"833";"NAT9314  ";"2016JJ00";"      25"
"834";"NAT9314  ";"2017JJ00";"      25"
"835";"NAT9314  ";"2018JJ00";"      30"
"836";"NAT9316  ";"1975JJ00";"       ."
"837";"NAT9316  ";"1976JJ00";"       ."
"838";"NAT9316  ";"1977JJ00";"       ."
"839";"NAT9316  ";"1978JJ00";"       ."
"840";"NAT9316  ";"1979JJ00";"       ."
"841";"NAT9316  ";"1980JJ00";"       ."
"842";"NAT9316  ";"1981JJ00";"       ."
"843";"NAT9316  ";"1982JJ00";"       ."
"844";"NAT9316  ";"1983JJ00";"       ."
"845";"NAT9316  ";"1984JJ00";"       ."
"846";"NAT9316  ";"1985JJ00";"       ."
"847";"NAT9316  ";"1986JJ00";"       ."
"848";"NAT9316  ";"1987JJ00";"       ."
"849";"NAT9316  ";"1988JJ00";"       ."
"850";"NAT9316  ";"1989JJ00";"       ."
"851";"NAT9316  ";"1990JJ00";"       ."
"852";"NAT9316  ";"1991JJ00";"       ."
"853";"NAT9316  ";"1992JJ00";"       ."
"854";"NAT9316  ";"1993JJ00";"       ."
"855";"NAT9316  ";"1994JJ00";"      20"
"856";"NAT9316  ";"1995JJ00";"      10"
"857";"NAT9316  ";"1996JJ00";"      20"
"858";"NAT9316  ";"1997JJ00";"       5"
"859";"NAT9316  ";"1998JJ00";"      10"
"860";"NAT9316  ";"1999JJ00";"      15"
"861";"NAT9316  ";"2000JJ00";"       ."
"862";"NAT9316  ";"2001JJ00";"       ."
"863";"NAT9316  ";"2002JJ00";"       ."
"864";"NAT9316  ";"2003JJ00";"       ."
"865";"NAT9316  ";"2004JJ00";"       ."
"866";"NAT9316  ";"2005JJ00";"       ."
"867";"NAT9316  ";"2006JJ00";"       ."
"868";"NAT9316  ";"2007JJ00";"      20"
"869";"NAT9316  ";"2008JJ00";"      10"
"870";"NAT9316  ";"2009JJ00";"       0"
"871";"NAT9316  ";"2010JJ00";"      10"
"872";"NAT9316  ";"2011JJ00";"       5"
"873";"NAT9316  ";"2012JJ00";"       5"
"874";"NAT9316  ";"2013JJ00";"      10"
"875";"NAT9316  ";"2014JJ00";"      15"
"876";"NAT9316  ";"2015JJ00";"      10"
"877";"NAT9316  ";"2016JJ00";"      25"
"878";"NAT9316  ";"2017JJ00";"     255"
"879";"NAT9316  ";"2018JJ00";"     175"
"880";"NAT9324  ";"1975JJ00";"       ."
"881";"NAT9324  ";"1976JJ00";"       ."
"882";"NAT9324  ";"1977JJ00";"       ."
"883";"NAT9324  ";"1978JJ00";"       ."
"884";"NAT9324  ";"1979JJ00";"       ."
"885";"NAT9324  ";"1980JJ00";"       ."
"886";"NAT9324  ";"1981JJ00";"       ."
"887";"NAT9324  ";"1982JJ00";"       ."
"888";"NAT9324  ";"1983JJ00";"       ."
"889";"NAT9324  ";"1984JJ00";"      15"
"890";"NAT9324  ";"1985JJ00";"       ."
"891";"NAT9324  ";"1986JJ00";"      20"
"892";"NAT9324  ";"1987JJ00";"      60"
"893";"NAT9324  ";"1988JJ00";"      30"
"894";"NAT9324  ";"1989JJ00";"      25"
"895";"NAT9324  ";"1990JJ00";"      75"
"896";"NAT9324  ";"1991JJ00";"      40"
"897";"NAT9324  ";"1992JJ00";"      25"
"898";"NAT9324  ";"1993JJ00";"      50"
"899";"NAT9324  ";"1994JJ00";"      65"
"900";"NAT9324  ";"1995JJ00";"      50"
"901";"NAT9324  ";"1996JJ00";"      45"
"902";"NAT9324  ";"1997JJ00";"      40"
"903";"NAT9324  ";"1998JJ00";"      30"
"904";"NAT9324  ";"1999JJ00";"      30"
"905";"NAT9324  ";"2000JJ00";"      30"
"906";"NAT9324  ";"2001JJ00";"      30"
"907";"NAT9324  ";"2002JJ00";"      30"
"908";"NAT9324  ";"2003JJ00";"      25"
"909";"NAT9324  ";"2004JJ00";"      25"
"910";"NAT9324  ";"2005JJ00";"      30"
"911";"NAT9324  ";"2006JJ00";"      15"
"912";"NAT9324  ";"2007JJ00";"      15"
"913";"NAT9324  ";"2008JJ00";"      30"
"914";"NAT9324  ";"2009JJ00";"      50"
"915";"NAT9324  ";"2010JJ00";"      45"
"916";"NAT9324  ";"2011JJ00";"      80"
"917";"NAT9324  ";"2012JJ00";"     205"
"918";"NAT9324  ";"2013JJ00";"     240"
"919";"NAT9324  ";"2014JJ00";"     150"
"920";"NAT9324  ";"2015JJ00";"     125"
"921";"NAT9324  ";"2016JJ00";"     160"
"922";"NAT9324  ";"2017JJ00";"     225"
"923";"NAT9324  ";"2018JJ00";"     235"
"924";"NAT9326  ";"1975JJ00";"       ."
"925";"NAT9326  ";"1976JJ00";"       ."
"926";"NAT9326  ";"1977JJ00";"       ."
"927";"NAT9326  ";"1978JJ00";"       ."
"928";"NAT9326  ";"1979JJ00";"       ."
"929";"NAT9326  ";"1980JJ00";"       ."
"930";"NAT9326  ";"1981JJ00";"       ."
"931";"NAT9326  ";"1982JJ00";"       ."
"932";"NAT9326  ";"1983JJ00";"       ."
"933";"NAT9326  ";"1984JJ00";"       ."
"934";"NAT9326  ";"1985JJ00";"       ."
"935";"NAT9326  ";"1986JJ00";"       ."
"936";"NAT9326  ";"1987JJ00";"       ."
"937";"NAT9326  ";"1988JJ00";"       ."
"938";"NAT9326  ";"1989JJ00";"       ."
"939";"NAT9326  ";"1990JJ00";"       ."
"940";"NAT9326  ";"1991JJ00";"       ."
"941";"NAT9326  ";"1992JJ00";"       ."
"942";"NAT9326  ";"1993JJ00";"       ."
"943";"NAT9326  ";"1994JJ00";"      30"
"944";"NAT9326  ";"1995JJ00";"      55"
"945";"NAT9326  ";"1996JJ00";"      45"
"946";"NAT9326  ";"1997JJ00";"      50"
"947";"NAT9326  ";"1998JJ00";"     135"
"948";"NAT9326  ";"1999JJ00";"     270"
"949";"NAT9326  ";"2000JJ00";"     260"
"950";"NAT9326  ";"2001JJ00";"     215"
"951";"NAT9326  ";"2002JJ00";"     155"
"952";"NAT9326  ";"2003JJ00";"     125"
"953";"NAT9326  ";"2004JJ00";"     150"
"954";"NAT9326  ";"2005JJ00";"     205"
"955";"NAT9326  ";"2006JJ00";"     175"
"956";"NAT9326  ";"2007JJ00";"     175"
"957";"NAT9326  ";"2008JJ00";"     250"
"958";"NAT9326  ";"2009JJ00";"     485"
"959";"NAT9326  ";"2010JJ00";"     410"
"960";"NAT9326  ";"2011JJ00";"     500"
"961";"NAT9326  ";"2012JJ00";"     480"
"962";"NAT9326  ";"2013JJ00";"    1055"
"963";"NAT9326  ";"2014JJ00";"    4100"
"964";"NAT9326  ";"2015JJ00";"    8435"
"965";"NAT9326  ";"2016JJ00";"    3235"
"966";"NAT9326  ";"2017JJ00";"    4535"
"967";"NAT9326  ";"2018JJ00";"    4080"
"968";"NAT9327  ";"1975JJ00";"       ."
"969";"NAT9327  ";"1976JJ00";"       ."
"970";"NAT9327  ";"1977JJ00";"       ."
"971";"NAT9327  ";"1978JJ00";"       ."
"972";"NAT9327  ";"1979JJ00";"       ."
"973";"NAT9327  ";"1980JJ00";"       ."
"974";"NAT9327  ";"1981JJ00";"       ."
"975";"NAT9327  ";"1982JJ00";"       ."
"976";"NAT9327  ";"1983JJ00";"       ."
"977";"NAT9327  ";"1984JJ00";"       ."
"978";"NAT9327  ";"1985JJ00";"       ."
"979";"NAT9327  ";"1986JJ00";"       ."
"980";"NAT9327  ";"1987JJ00";"       ."
"981";"NAT9327  ";"1988JJ00";"       ."
"982";"NAT9327  ";"1989JJ00";"       ."
"983";"NAT9327  ";"1990JJ00";"       ."
"984";"NAT9327  ";"1991JJ00";"       ."
"985";"NAT9327  ";"1992JJ00";"       ."
"986";"NAT9327  ";"1993JJ00";"      50"
"987";"NAT9327  ";"1994JJ00";"      80"
"988";"NAT9327  ";"1995JJ00";"      20"
"989";"NAT9327  ";"1996JJ00";"      15"
"990";"NAT9327  ";"1997JJ00";"       ."
"991";"NAT9327  ";"1998JJ00";"       0"
"992";"NAT9327  ";"1999JJ00";"       0"
"993";"NAT9327  ";"2000JJ00";"       ."
"994";"NAT9327  ";"2001JJ00";"       ."
"995";"NAT9327  ";"2002JJ00";"       ."
"996";"NAT9327  ";"2003JJ00";"       ."
"997";"NAT9327  ";"2004JJ00";"       ."
"998";"NAT9327  ";"2005JJ00";"       ."
"999";"NAT9327  ";"2006JJ00";"       ."
"1000";"NAT9327  ";"2007JJ00";"       ."
"1001";"NAT9327  ";"2008JJ00";"       0"
"1002";"NAT9327  ";"2009JJ00";"       ."
"1003";"NAT9327  ";"2010JJ00";"       ."
"1004";"NAT9327  ";"2011JJ00";"       ."
"1005";"NAT9327  ";"2012JJ00";"       0"
"1006";"NAT9327  ";"2013JJ00";"       0"
"1007";"NAT9327  ";"2014JJ00";"       ."
"1008";"NAT9327  ";"2015JJ00";"       ."
"1009";"NAT9327  ";"2016JJ00";"       ."
"1010";"NAT9327  ";"2017JJ00";"       ."
"1011";"NAT9327  ";"2018JJ00";"       ."
"1012";"NAT9328  ";"1975JJ00";"       ."
"1013";"NAT9328  ";"1976JJ00";"       ."
"1014";"NAT9328  ";"1977JJ00";"       ."
"1015";"NAT9328  ";"1978JJ00";"       ."
"1016";"NAT9328  ";"1979JJ00";"       ."
"1017";"NAT9328  ";"1980JJ00";"     210"
"1018";"NAT9328  ";"1981JJ00";"     135"
"1019";"NAT9328  ";"1982JJ00";"      75"
"1020";"NAT9328  ";"1983JJ00";"     105"
"1021";"NAT9328  ";"1984JJ00";"     135"
"1022";"NAT9328  ";"1985JJ00";"     155"
"1023";"NAT9328  ";"1986JJ00";"     350"
"1024";"NAT9328  ";"1987JJ00";"     545"
"1025";"NAT9328  ";"1988JJ00";"     680"
"1026";"NAT9328  ";"1989JJ00";"     885"
"1027";"NAT9328  ";"1990JJ00";"    1015"
"1028";"NAT9328  ";"1991JJ00";"     815"
"1029";"NAT9328  ";"1992JJ00";"     300"
"1030";"NAT9328  ";"1993JJ00";"     445"
"1031";"NAT9328  ";"1994JJ00";"     595"
"1032";"NAT9328  ";"1995JJ00";"     175"
"1033";"NAT9328  ";"1996JJ00";"     110"
"1034";"NAT9328  ";"1997JJ00";"     125"
"1035";"NAT9328  ";"1998JJ00";"     240"
"1036";"NAT9328  ";"1999JJ00";"     210"
"1037";"NAT9328  ";"2000JJ00";"     255"
"1038";"NAT9328  ";"2001JJ00";"     225"
"1039";"NAT9328  ";"2002JJ00";"     135"
"1040";"NAT9328  ";"2003JJ00";"      95"
"1041";"NAT9328  ";"2004JJ00";"      65"
"1042";"NAT9328  ";"2005JJ00";"      80"
"1043";"NAT9328  ";"2006JJ00";"     210"
"1044";"NAT9328  ";"2007JJ00";"      65"
"1045";"NAT9328  ";"2008JJ00";"      65"
"1046";"NAT9328  ";"2009JJ00";"     100"
"1047";"NAT9328  ";"2010JJ00";"      85"
"1048";"NAT9328  ";"2011JJ00";"      95"
"1049";"NAT9328  ";"2012JJ00";"      90"
"1050";"NAT9328  ";"2013JJ00";"     105"
"1051";"NAT9328  ";"2014JJ00";"     165"
"1052";"NAT9328  ";"2015JJ00";"     190"
"1053";"NAT9328  ";"2016JJ00";"     215"
"1054";"NAT9328  ";"2017JJ00";"     210"
"1055";"NAT9328  ";"2018JJ00";"     170"
"1056";"NAT9334  ";"1975JJ00";"       ."
"1057";"NAT9334  ";"1976JJ00";"       ."
"1058";"NAT9334  ";"1977JJ00";"       ."
"1059";"NAT9334  ";"1978JJ00";"       ."
"1060";"NAT9334  ";"1979JJ00";"       ."
"1061";"NAT9334  ";"1980JJ00";"       ."
"1062";"NAT9334  ";"1981JJ00";"       ."
"1063";"NAT9334  ";"1982JJ00";"       ."
"1064";"NAT9334  ";"1983JJ00";"       ."
"1065";"NAT9334  ";"1984JJ00";"       ."
"1066";"NAT9334  ";"1985JJ00";"      10"
"1067";"NAT9334  ";"1986JJ00";"      15"
"1068";"NAT9334  ";"1987JJ00";"      60"
"1069";"NAT9334  ";"1988JJ00";"      25"
"1070";"NAT9334  ";"1989JJ00";"      15"
"1071";"NAT9334  ";"1990JJ00";"       ."
"1072";"NAT9334  ";"1991JJ00";"       ."
"1073";"NAT9334  ";"1992JJ00";"       ."
"1074";"NAT9334  ";"1993JJ00";"       ."
"1075";"NAT9334  ";"1994JJ00";"      10"
"1076";"NAT9334  ";"1995JJ00";"      25"
"1077";"NAT9334  ";"1996JJ00";"       5"
"1078";"NAT9334  ";"1997JJ00";"       5"
"1079";"NAT9334  ";"1998JJ00";"      10"
"1080";"NAT9334  ";"1999JJ00";"       5"
"1081";"NAT9334  ";"2000JJ00";"       5"
"1082";"NAT9334  ";"2001JJ00";"      20"
"1083";"NAT9334  ";"2002JJ00";"      15"
"1084";"NAT9334  ";"2003JJ00";"       5"
"1085";"NAT9334  ";"2004JJ00";"      15"
"1086";"NAT9334  ";"2005JJ00";"      20"
"1087";"NAT9334  ";"2006JJ00";"      10"
"1088";"NAT9334  ";"2007JJ00";"      20"
"1089";"NAT9334  ";"2008JJ00";"      15"
"1090";"NAT9334  ";"2009JJ00";"      15"
"1091";"NAT9334  ";"2010JJ00";"      20"
"1092";"NAT9334  ";"2011JJ00";"      30"
"1093";"NAT9334  ";"2012JJ00";"      30"
"1094";"NAT9334  ";"2013JJ00";"      30"
"1095";"NAT9334  ";"2014JJ00";"      25"
"1096";"NAT9334  ";"2015JJ00";"      60"
"1097";"NAT9334  ";"2016JJ00";"     135"
"1098";"NAT9334  ";"2017JJ00";"     230"
"1099";"NAT9334  ";"2018JJ00";"     385"
"1100";"NAT9335  ";"1975JJ00";"       ."
"1101";"NAT9335  ";"1976JJ00";"       ."
"1102";"NAT9335  ";"1977JJ00";"       ."
