"ID";"Nationaliteit";"Perioden";"TotaalAsielverzoekenEnNareizigers_1"
"111";"NAT9277  ";"1998JJ00";"    8330"
"112";"NAT9277  ";"1999JJ00";"    5080"
"113";"NAT9277  ";"2000JJ00";"    5650"
"114";"NAT9277  ";"2001JJ00";"    2200"
"115";"NAT9277  ";"2002JJ00";"     855"
"116";"NAT9277  ";"2003JJ00";"     545"
"117";"NAT9277  ";"2004JJ00";"     500"
"118";"NAT9277  ";"2005JJ00";"     450"
"119";"NAT9277  ";"2006JJ00";"     775"
"120";"NAT9277  ";"2007JJ00";"      95"
"121";"NAT9277  ";"2008JJ00";"      65"
"122";"NAT9277  ";"2009JJ00";"     135"
"123";"NAT9277  ";"2010JJ00";"     520"
"124";"NAT9277  ";"2011JJ00";"     445"
"125";"NAT9277  ";"2012JJ00";"     320"
"126";"NAT9277  ";"2013JJ00";"     515"
"127";"NAT9277  ";"2014JJ00";"     515"
"128";"NAT9277  ";"2015JJ00";"    1380"
"129";"NAT9277  ";"2016JJ00";"    2180"
"130";"NAT9277  ";"2017JJ00";"     460"
"131";"NAT9277  ";"2018JJ00";"     365"
"132";"NAT9278  ";"1975JJ00";"       ."
"133";"NAT9278  ";"1976JJ00";"       ."
"134";"NAT9278  ";"1977JJ00";"       ."
"135";"NAT9278  ";"1978JJ00";"       ."
"136";"NAT9278  ";"1979JJ00";"       ."
"137";"NAT9278  ";"1980JJ00";"      15"
"138";"NAT9278  ";"1981JJ00";"      15"
"139";"NAT9278  ";"1982JJ00";"      20"
"140";"NAT9278  ";"1983JJ00";"      30"
"141";"NAT9278  ";"1984JJ00";"      35"
"142";"NAT9278  ";"1985JJ00";"     135"
"143";"NAT9278  ";"1986JJ00";"     450"
"144";"NAT9278  ";"1987JJ00";"      65"
"145";"NAT9278  ";"1988JJ00";"      45"
"146";"NAT9278  ";"1989JJ00";"     265"
"147";"NAT9278  ";"1990JJ00";"     570"
"148";"NAT9278  ";"1991JJ00";"     295"
"149";"NAT9278  ";"1992JJ00";"     350"
"150";"NAT9278  ";"1993JJ00";"    1505"
"151";"NAT9278  ";"1994JJ00";"    2525"
"152";"NAT9278  ";"1995JJ00";"    1910"
"153";"NAT9278  ";"1996JJ00";"    3020"
"154";"NAT9278  ";"1997JJ00";"    5920"
"155";"NAT9278  ";"1998JJ00";"    7120"
"156";"NAT9278  ";"1999JJ00";"    4400"
"157";"NAT9278  ";"2000JJ00";"    5030"
"158";"NAT9278  ";"2001JJ00";"    3625"
"159";"NAT9278  ";"2002JJ00";"    1080"
"160";"NAT9278  ";"2003JJ00";"     485"
"161";"NAT9278  ";"2004JJ00";"     690"
"162";"NAT9278  ";"2005JJ00";"     900"
"163";"NAT9278  ";"2006JJ00";"     930"
"164";"NAT9278  ";"2007JJ00";"     520"
"165";"NAT9278  ";"2008JJ00";"     705"
"166";"NAT9278  ";"2009JJ00";"    1400"
"167";"NAT9278  ";"2010JJ00";"    1585"
"168";"NAT9278  ";"2011JJ00";"    2395"
"169";"NAT9278  ";"2012JJ00";"    1620"
"170";"NAT9278  ";"2013JJ00";"    1520"
"171";"NAT9278  ";"2014JJ00";"     975"
"172";"NAT9278  ";"2015JJ00";"    2945"
"173";"NAT9278  ";"2016JJ00";"    1445"
"174";"NAT9278  ";"2017JJ00";"     870"
"175";"NAT9278  ";"2018JJ00";"    1205"
"176";"NAT9279  ";"1975JJ00";"       ."
"177";"NAT9279  ";"1976JJ00";"       ."
"178";"NAT9279  ";"1977JJ00";"       ."
"179";"NAT9279  ";"1978JJ00";"       ."
"180";"NAT9279  ";"1979JJ00";"       ."
"181";"NAT9279  ";"1980JJ00";"       ."
"182";"NAT9279  ";"1981JJ00";"      10"
"183";"NAT9279  ";"1982JJ00";"       ."
"184";"NAT9279  ";"1983JJ00";"       ."
"185";"NAT9279  ";"1984JJ00";"       ."
"186";"NAT9279  ";"1985JJ00";"      10"
"187";"NAT9279  ";"1986JJ00";"      10"
"188";"NAT9279  ";"1987JJ00";"      30"
"189";"NAT9279  ";"1988JJ00";"      10"
"190";"NAT9279  ";"1989JJ00";"      40"
"191";"NAT9279  ";"1990JJ00";"      40"
"192";"NAT9279  ";"1991JJ00";"     225"
"193";"NAT9279  ";"1992JJ00";"     140"
"194";"NAT9279  ";"1993JJ00";"     275"
"195";"NAT9279  ";"1994JJ00";"     620"
"196";"NAT9279  ";"1995JJ00";"     105"
"197";"NAT9279  ";"1996JJ00";"      90"
"198";"NAT9279  ";"1997JJ00";"     300"
"199";"NAT9279  ";"1998JJ00";"     245"
"200";"NAT9279  ";"1999JJ00";"     175"
"201";"NAT9279  ";"2000JJ00";"     215"
"202";"NAT9279  ";"2001JJ00";"     140"
"203";"NAT9279  ";"2002JJ00";"     105"
"204";"NAT9279  ";"2003JJ00";"      50"
"205";"NAT9279  ";"2004JJ00";"      50"
"206";"NAT9279  ";"2005JJ00";"      30"
"207";"NAT9279  ";"2006JJ00";"      25"
"208";"NAT9279  ";"2007JJ00";"      10"
"209";"NAT9279  ";"2008JJ00";"      10"
"210";"NAT9279  ";"2009JJ00";"      15"
"211";"NAT9279  ";"2010JJ00";"      15"
"212";"NAT9279  ";"2011JJ00";"      30"
"213";"NAT9279  ";"2012JJ00";"      20"
"214";"NAT9279  ";"2013JJ00";"      35"
"215";"NAT9279  ";"2014JJ00";"      90"
"216";"NAT9279  ";"2015JJ00";"    1015"
"217";"NAT9279  ";"2016JJ00";"    1700"
"218";"NAT9279  ";"2017JJ00";"     375"
"219";"NAT9279  ";"2018JJ00";"     575"
"220";"NAT9280  ";"1975JJ00";"       ."
"221";"NAT9280  ";"1976JJ00";"       ."
"222";"NAT9280  ";"1977JJ00";"       ."
"223";"NAT9280  ";"1978JJ00";"       ."
"224";"NAT9280  ";"1979JJ00";"       ."
"225";"NAT9280  ";"1980JJ00";"       ."
"226";"NAT9280  ";"1981JJ00";"       ."
"227";"NAT9280  ";"1982JJ00";"       ."
"228";"NAT9280  ";"1983JJ00";"       ."
"229";"NAT9280  ";"1984JJ00";"       ."
"230";"NAT9280  ";"1985JJ00";"       ."
"231";"NAT9280  ";"1986JJ00";"      10"
"232";"NAT9280  ";"1987JJ00";"      15"
"233";"NAT9280  ";"1988JJ00";"      30"
"234";"NAT9280  ";"1989JJ00";"      45"
"235";"NAT9280  ";"1990JJ00";"     105"
"236";"NAT9280  ";"1991JJ00";"      80"
"237";"NAT9280  ";"1992JJ00";"     145"
"238";"NAT9280  ";"1993JJ00";"     345"
"239";"NAT9280  ";"1994JJ00";"    1320"
"240";"NAT9280  ";"1995JJ00";"     650"
"241";"NAT9280  ";"1996JJ00";"     440"
"242";"NAT9280  ";"1997JJ00";"     525"
"243";"NAT9280  ";"1998JJ00";"     820"
"244";"NAT9280  ";"1999JJ00";"     635"
"245";"NAT9280  ";"2000JJ00";"     420"
"246";"NAT9280  ";"2001JJ00";"     330"
"247";"NAT9280  ";"2002JJ00";"     200"
"248";"NAT9280  ";"2003JJ00";"     105"
"249";"NAT9280  ";"2004JJ00";"      65"
