"ID";"Geslacht";"LeeftijdOp31December";"Geboorteland";"BurgerlijkeStaat";"Perioden";"Immigratie_1"
"3271522";"3000   ";"10000";"G008597";"T001019";"1997JJ00";"      33"
"3271523";"3000   ";"10000";"G008597";"T001019";"1998JJ00";"      27"
"3271524";"3000   ";"10000";"G008597";"T001019";"1999JJ00";"      24"
"3271525";"3000   ";"10000";"G008597";"T001019";"2000JJ00";"      46"
"3271526";"3000   ";"10000";"G008597";"T001019";"2001JJ00";"      50"
"3271527";"3000   ";"10000";"G008597";"T001019";"2002JJ00";"      43"
"3271528";"3000   ";"10000";"G008597";"T001019";"2003JJ00";"      50"
"3271529";"3000   ";"10000";"G008597";"T001019";"2004JJ00";"      42"
"3271530";"3000   ";"10000";"G008597";"T001019";"2005JJ00";"      37"
"3271531";"3000   ";"10000";"G008597";"T001019";"2006JJ00";"      31"
"3271532";"3000   ";"10000";"G008597";"T001019";"2007JJ00";"      59"
"3271533";"3000   ";"10000";"G008597";"T001019";"2008JJ00";"      58"
"3271534";"3000   ";"10000";"G008597";"T001019";"2009JJ00";"     137"
"3271535";"3000   ";"10000";"G008597";"T001019";"2010JJ00";"     182"
"3271536";"3000   ";"10000";"G008597";"T001019";"2011JJ00";"     158"
"3271537";"3000   ";"10000";"G008597";"T001019";"2012JJ00";"     105"
"3271538";"3000   ";"10000";"G008597";"T001019";"2013JJ00";"     268"
"3271539";"3000   ";"10000";"G008597";"T001019";"2014JJ00";"    1529"
"3271540";"3000   ";"10000";"G008597";"T001019";"2015JJ00";"    2095"
"3271541";"3000   ";"10000";"G008597";"T001019";"2016JJ00";"    1794"
"3271542";"3000   ";"10000";"G008597";"T001019";"2017JJ00";"    1646"
"3275430";"3000   ";"10000";"G008633";"T001019";"1995JJ00";"    1880"
"3275431";"3000   ";"10000";"G008633";"T001019";"1996JJ00";"    2818"
"3275432";"3000   ";"10000";"G008633";"T001019";"1997JJ00";"    3786"
"3275433";"3000   ";"10000";"G008633";"T001019";"1998JJ00";"    5070"
"3275434";"3000   ";"10000";"G008633";"T001019";"1999JJ00";"    2017"
"3275435";"3000   ";"10000";"G008633";"T001019";"2000JJ00";"    2769"
"3275436";"3000   ";"10000";"G008633";"T001019";"2001JJ00";"    1769"
"3275437";"3000   ";"10000";"G008633";"T001019";"2002JJ00";"     792"
"3275438";"3000   ";"10000";"G008633";"T001019";"2003JJ00";"     693"
"3275439";"3000   ";"10000";"G008633";"T001019";"2004JJ00";"     680"
"3275440";"3000   ";"10000";"G008633";"T001019";"2005JJ00";"     609"
"3275441";"3000   ";"10000";"G008633";"T001019";"2006JJ00";"     711"
"3275442";"3000   ";"10000";"G008633";"T001019";"2007JJ00";"    1349"
"3275443";"3000   ";"10000";"G008633";"T001019";"2008JJ00";"    2852"
"3275444";"3000   ";"10000";"G008633";"T001019";"2009JJ00";"    2405"
"3275445";"3000   ";"10000";"G008633";"T001019";"2010JJ00";"    1188"
"3275446";"3000   ";"10000";"G008633";"T001019";"2011JJ00";"    1085"
"3275447";"3000   ";"10000";"G008633";"T001019";"2012JJ00";"    1004"
"3275448";"3000   ";"10000";"G008633";"T001019";"2013JJ00";"     993"
"3275449";"3000   ";"10000";"G008633";"T001019";"2014JJ00";"     835"
"3275450";"3000   ";"10000";"G008633";"T001019";"2015JJ00";"     898"
"3275451";"3000   ";"10000";"G008633";"T001019";"2016JJ00";"    2200"
"3275452";"3000   ";"10000";"G008633";"T001019";"2017JJ00";"    1170"
"3275545";"3000   ";"10000";"G008634";"T001019";"1995JJ00";"    1562"
"3275546";"3000   ";"10000";"G008634";"T001019";"1996JJ00";"    1624"
"3275547";"3000   ";"10000";"G008634";"T001019";"1997JJ00";"     927"
"3275548";"3000   ";"10000";"G008634";"T001019";"1998JJ00";"     617"
"3275549";"3000   ";"10000";"G008634";"T001019";"1999JJ00";"     629"
"3275550";"3000   ";"10000";"G008634";"T001019";"2000JJ00";"     988"
"3275551";"3000   ";"10000";"G008634";"T001019";"2001JJ00";"    1273"
"3275552";"3000   ";"10000";"G008634";"T001019";"2002JJ00";"     779"
"3275553";"3000   ";"10000";"G008634";"T001019";"2003JJ00";"     446"
"3275554";"3000   ";"10000";"G008634";"T001019";"2004JJ00";"     335"
"3275555";"3000   ";"10000";"G008634";"T001019";"2005JJ00";"     269"
